targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,correct_key_resp.rt,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,2,4,0,0,0,0,3,3,27,6,,,,,,,,,82.43026999999984,82.9300346,83.64788940000017,None,82.94692609999993,83.63090120000015,84.14860570000019,None,right,1,84.14860570000019,None,None,82.94692609999993,84.13181840000016,0.5113945000002786,0.5950283000001946,1.7131650000001173,1.7963838000000578,0.25008070000012594,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,0,0,right,1,4,0,0,0,0,3,4,28,3,,,,,,,,,84.41573879999987,84.9163480000002,85.63368679999985,None,84.9329902999998,85.61730649999981,86.13485029999993,None,right,1,86.13485029999993,None,None,84.9329902999998,86.11762820000013,0.5121315999999752,0.5953366000003371,1.7134048000002622,1.7970767000001615,0.34366339999996853,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,180,0,left,2,3,0,0,0,0,3,5,29,4,,,,,,,,,86.5027482999999,87.00248310000006,87.71985610000002,None,87.01880080000001,87.70362530000011,88.22060499999998,None,left,1,88.22060499999998,None,None,87.01880080000001,88.20407819999991,0.5115384000000631,0.5948053000001892,1.713126000000102,1.7966053000000102,0.35389729999997144,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,3,6,30,7,,,,,,,,,88.60479140000007,89.10526470000013,89.82286169999998,None,89.12211919999982,89.80638829999998,90.3235193999999,None,right,1,90.3235193999999,None,None,89.12211919999982,90.30720629999996,0.5116254999998091,0.5948668000000907,1.713539899999887,1.796644500000184,0.34710720000020956,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,3,7,31,1,,,,,,,,,90.69163019999996,91.19146039999987,91.90912359999993,None,91.20796950000022,91.89248720000023,92.4096797000002,None,left,1,92.4096797000002,None,None,91.20796950000022,92.39314580000018,0.5113440000000082,0.5951078999996753,1.7130009999996219,1.796447199999875,0.27682580000009693,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,4,0,32,1,,,,,,,,,92.7108146999999,93.21072379999987,93.9284845000002,None,93.22748020000017,93.91196769999988,94.42914070000006,None,left,1,94.42914070000006,None,None,93.22748020000017,94.41266140000016,0.5112099000002672,0.5948226999998951,1.7131279000000177,1.7965549000000465,0.30546540000023015,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,4,1,33,2,,,,,,,,,94.76371710000012,95.26384009999992,95.98133009999992,None,95.2803543,95.9645558000002,96.48233750000009,None,left,1,96.48233750000009,None,None,95.2803543,96.46575359999997,0.511499200000344,0.5947883000003458,1.7133914000000914,1.7965203000003385,0.3163030999999137,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,4,2,34,5,,,,,,,,,96.81651360000023,97.31674930000008,98.0342556999999,None,97.33312710000018,98.01735270000017,98.5349798000002,None,right,1,98.5349798000002,None,None,97.33312710000018,98.51808470000014,0.5117771000000175,0.5950339999999414,1.7130802000001495,1.7968630999998823,0.35952299999962634,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,4,3,35,7,,,,,,,,,98.91913059999979,99.41929740000023,100.13694429999987,None,99.43646889999991,100.1203403999998,100.63772340000014,None,right,1,100.63772340000014,None,None,99.43646889999991,100.62094909999996,0.5116331999997783,0.5952714000000014,1.713264800000161,1.796848299999965,0.3367863000003126,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,4,4,36,0,,,,,,,,,101.00524499999983,101.50573970000005,102.22329649999983,None,101.5224874999999,102.20674400000007,102.72403639999993,None,left,1,102.72403639999993,None,None,101.5224874999999,102.70731089999981,0.511706299999787,0.5948917999999139,1.7132652999998754,1.7967843000001267,0.3144118999998682,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,4,5,37,6,,,,,,,,,103.05838810000023,103.55832969999983,104.27607500000022,None,103.57511569999997,104.25937560000011,104.7769443000002,None,right,1,104.7769443000002,None,None,103.57511569999997,104.76001279999991,0.5116233999997348,0.5952065999999832,1.7132916000000478,1.7969681999998102,0.37362880000000587,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,180,0,left,2,3,0,0,0,0,4,6,38,4,,,,,,,,,105.17807439999979,105.67786389999992,106.39563970000017,None,105.69480629999998,106.37896760000012,106.8963490000001,None,left,1,106.8963490000001,None,None,105.69480629999998,106.87964220000003,0.5113051000002997,0.5948029000001043,1.7130674,1.796641500000078,0.3662272000001394,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,0,0,right,1,4,0,0,0,0,4,7,39,3,,,,,,,,,107.28096619999997,107.78087610000011,108.49853110000004,None,107.79747159999988,108.48190410000007,108.99913839999999,None,right,1,108.99913839999999,None,None,107.79747159999988,108.98253710000017,0.5112294000000475,0.5946380999998837,1.7128327999998874,1.7963048000001436,0.31185020000020813,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,5,0,40,1,,,,,,,,,109.33420130000013,109.83389699999998,110.55153500000006,None,109.8505223000002,110.53475660000004,111.05227250000007,None,left,1,111.05227250000007,None,None,109.8505223000002,111.03557890000002,0.5111182000000554,0.5945090999998683,1.7127785999996377,1.795886800000062,0.33824879999974655,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,180,0,left,2,3,0,0,0,0,5,1,41,4,,,,,,,,,111.42005449999988,111.91974170000003,112.63670339999999,None,111.93708830000014,112.62006350000001,113.13823629999979,None,left,1,113.13823629999979,None,None,111.93708830000014,113.12166089999982,0.5113822999996955,0.5950267999996868,1.7132824999998775,1.7966960999997355,0.3484216000001652,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,5,2,42,7,,,,,,,,,113.50640239999984,114.00616709999986,114.7239899000001,None,114.02285810000012,114.7071089000001,115.2245198999999,None,right,1,115.2245198999999,None,None,114.02285810000012,115.20771210000021,0.5116540999997596,0.5949425999997402,1.71318250000013,1.7966734000001452,0.32591709999996965,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,5,3,43,5,,,,,,,,,115.5754253,116.0756394,116.7934237999998,None,116.0924700999999,116.77676010000005,117.2940649000002,None,right,1,117.2940649000002,None,None,116.0924700999999,117.27731499999982,0.5115712000001622,0.5947844000002078,1.7132344000001467,1.796529400000054,0.4163899999998648,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,5,4,44,6,,,,,,,,,117.72843490000014,118.22848359999989,118.94626359999984,None,118.24532469999986,118.92960649999986,119.4470381000001,None,right,1,119.4470381000001,None,None,118.24532469999986,119.43007589999979,0.5115836999998464,0.5952198999998473,1.7131611999998313,1.796920599999794,0.3273278000001483,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,0,0,right,1,4,0,0,0,0,5,5,45,3,,,,,,,,,119.79814679999981,120.29786270000022,121.01572329999999,None,120.31486050000012,120.99895470000001,121.5165219999999,None,right,1,121.5165219999999,None,None,120.31486050000012,121.49984619999987,0.5112918999998328,0.5949325999999928,1.7132599999999911,1.7965481000001091,0.3698890999999094,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,5,6,46,0,,,,,,,,,121.91766770000004,122.41763790000005,123.1353653000001,None,122.4344799999999,123.1185360999998,123.63608590000013,None,left,1,123.63608590000013,None,None,122.4344799999999,123.61933129999989,0.5112985000000663,0.5948217999998633,1.7129768999998305,1.7966342999998233,0.31439220000038404,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,5,7,47,2,,,,,,,,,123.97062310000001,124.47051580000016,125.18803230000003,None,124.48718740000004,125.17152889999988,125.68870629999992,None,left,1,125.68870629999992,None,None,124.48718740000004,125.67217119999987,0.5114344999997229,0.5950932999999168,1.7130684999997356,1.7964848999999958,0.32578949999970064,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
